,MBSD_104.counts,MBSD_106.counts,MBSD_110.counts,MBSD_114.counts,MBSD_119.counts,MBSD_123.counts,MBSD_156.counts,MBSD_158.counts,MBSD_162.counts,MBSD_166.counts,MBSD_168.counts,MBSD_173.counts,X177_coldM_geno1,X182_coldM_geno1,X187_coldM_geno1,X192_coldM_geno1,X194_coldM_geno1,X198_coldM_geno1,X177_coldM_geno2,X182_coldM_geno2,X187_coldM_geno2,X192_coldM_geno2,X194_coldM_geno2,X198_coldM_geno2
ENSMUSG00000015149,3271.0,1286.0,3064.0,1771.0,1551.0,1637.0,1332.0,1649.0,1823.0,2106.0,1663.0,1703.0,96.0,125.0,59.0,135.0,140.0,49.0,96.0,101.0,59.0,164.0,99.0,49.0
ENSMUSG00000015165,4193.0,1862.0,3521.0,2850.0,2391.0,2270.0,2778.0,3163.0,3800.0,3817.0,3054.0,3211.0,92.0,116.0,103.0,201.0,122.0,82.0,113.0,134.0,82.0,186.0,127.0,91.0
ENSMUSG00000015202,222.0,96.0,157.0,117.0,110.0,108.0,63.0,77.0,82.0,115.0,103.0,117.0,5.0,14.0,6.0,10.0,11.0,5.0,7.0,4.0,1.0,6.0,7.0,5.0
ENSMUSG00000015224,67.0,24.0,87.0,57.0,33.0,33.0,34.0,53.0,46.0,25.0,20.0,33.0,2.0,0.0,3.0,9.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,3.0
ENSMUSG00000015243,5221.0,2356.0,4221.0,1900.0,2988.0,2430.0,1472.0,2377.0,2207.0,1787.0,2825.0,2496.0,40.0,32.0,16.0,44.0,24.0,10.0,29.0,36.0,19.0,28.0,21.0,12.0
ENSMUSG00000015305,2355.0,1264.0,2387.0,1779.0,1492.0,1424.0,978.0,1192.0,1611.0,2829.0,1612.0,1391.0,83.0,103.0,63.0,112.0,95.0,58.0,65.0,107.0,57.0,127.0,106.0,56.0
ENSMUSG00000015337,749.0,308.0,734.0,667.0,448.0,417.0,293.0,283.0,423.0,552.0,448.0,454.0,101.0,159.0,76.0,160.0,134.0,42.0,103.0,147.0,94.0,135.0,108.0,48.0
ENSMUSG00000015341,1045.0,453.0,950.0,442.0,655.0,599.0,590.0,594.0,700.0,712.0,624.0,601.0,1.0,6.0,6.0,8.0,2.0,2.0,3.0,5.0,3.0,3.0,10.0,9.0
ENSMUSG00000015354,351.0,141.0,323.0,175.0,170.0,232.0,79.0,96.0,111.0,72.0,77.0,103.0,8.0,14.0,14.0,17.0,16.0,9.0,8.0,7.0,16.0,9.0,10.0,5.0
ENSMUSG00000015461,761.0,299.0,567.0,380.0,414.0,340.0,286.0,349.0,470.0,561.0,504.0,536.0,39.0,64.0,41.0,75.0,56.0,36.0,43.0,50.0,50.0,79.0,81.0,37.0
ENSMUSG00000015468,2278.0,700.0,1665.0,1449.0,1173.0,1042.0,779.0,905.0,973.0,1978.0,1062.0,1263.0,83.0,109.0,73.0,116.0,94.0,51.0,85.0,85.0,48.0,94.0,109.0,43.0
ENSMUSG00000015474,567.0,200.0,427.0,350.0,315.0,299.0,200.0,255.0,344.0,376.0,302.0,316.0,74.0,95.0,78.0,154.0,146.0,70.0,65.0,66.0,59.0,131.0,116.0,48.0
ENSMUSG00000015478,968.0,351.0,1226.0,603.0,521.0,491.0,396.0,437.0,567.0,661.0,490.0,508.0,38.0,40.0,42.0,45.0,54.0,29.0,52.0,48.0,25.0,60.0,54.0,21.0
ENSMUSG00000015488,1421.0,504.0,1190.0,568.0,797.0,720.0,484.0,560.0,560.0,851.0,744.0,892.0,44.0,59.0,33.0,75.0,62.0,24.0,54.0,50.0,24.0,52.0,61.0,39.0
ENSMUSG00000015501,1739.0,791.0,1398.0,1481.0,1018.0,989.0,820.0,1145.0,1094.0,1668.0,973.0,1158.0,112.0,114.0,102.0,158.0,131.0,83.0,101.0,102.0,101.0,143.0,111.0,83.0
ENSMUSG00000015522,1533.0,613.0,1310.0,867.0,870.0,842.0,810.0,1030.0,1121.0,1272.0,966.0,1078.0,38.0,36.0,32.0,35.0,50.0,30.0,32.0,22.0,37.0,36.0,48.0,19.0
ENSMUSG00000015536,3030.0,1079.0,2449.0,1323.0,1473.0,1356.0,1361.0,1209.0,1709.0,1646.0,1361.0,1392.0,100.0,106.0,122.0,144.0,161.0,95.0,124.0,95.0,104.0,131.0,117.0,103.0
ENSMUSG00000015542,633.0,207.0,481.0,246.0,279.0,319.0,271.0,302.0,359.0,447.0,379.0,479.0,38.0,54.0,33.0,64.0,58.0,44.0,43.0,61.0,31.0,43.0,38.0,19.0
ENSMUSG00000015568,117975.0,46113.0,145855.0,62990.0,61219.0,67399.0,80843.0,63072.0,90660.0,118078.0,72222.0,65528.0,4677.0,5441.0,4165.0,9296.0,8259.0,3665.0,5826.0,6710.0,5379.0,10863.0,10392.0,4723.0
ENSMUSG00000015575,3817.0,1229.0,3480.0,1599.0,1818.0,1872.0,1435.0,1695.0,1907.0,2263.0,1888.0,1940.0,321.0,378.0,439.0,613.0,631.0,296.0,381.0,365.0,377.0,545.0,680.0,299.0
ENSMUSG00000015597,1043.0,544.0,856.0,900.0,649.0,603.0,457.0,550.0,597.0,646.0,523.0,510.0,10.0,10.0,5.0,9.0,15.0,5.0,9.0,8.0,7.0,9.0,14.0,13.0
ENSMUSG00000015605,904.0,445.0,644.0,1033.0,548.0,532.0,462.0,493.0,619.0,804.0,582.0,573.0,25.0,44.0,31.0,25.0,31.0,10.0,21.0,40.0,14.0,35.0,33.0,10.0
ENSMUSG00000015647,2398.0,1077.0,1819.0,1584.0,1118.0,1271.0,521.0,606.0,894.0,1121.0,830.0,974.0,64.0,77.0,66.0,102.0,126.0,59.0,39.0,45.0,44.0,64.0,69.0,27.0
ENSMUSG00000015656,27275.0,3941.0,15388.0,15464.0,8453.0,10783.0,6266.0,9453.0,7506.0,11299.0,6321.0,8950.0,1112.0,1619.0,968.0,1575.0,2275.0,1014.0,1117.0,1707.0,939.0,1684.0,2232.0,1036.0
ENSMUSG00000015659,362.0,142.0,276.0,234.0,203.0,145.0,197.0,305.0,349.0,395.0,325.0,323.0,7.0,6.0,5.0,9.0,10.0,4.0,10.0,8.0,6.0,12.0,18.0,5.0
ENSMUSG00000015671,2093.0,772.0,1744.0,719.0,983.0,999.0,928.0,1045.0,1251.0,1317.0,1263.0,1264.0,33.0,28.0,23.0,45.0,35.0,14.0,32.0,25.0,26.0,34.0,29.0,15.0
ENSMUSG00000015697,657.0,280.0,545.0,479.0,390.0,396.0,356.0,473.0,545.0,655.0,449.0,534.0,25.0,30.0,20.0,35.0,32.0,10.0,19.0,19.0,17.0,32.0,35.0,19.0
ENSMUSG00000015711,719.0,349.0,703.0,407.0,383.0,396.0,404.0,507.0,580.0,517.0,432.0,476.0,45.0,37.0,36.0,49.0,75.0,27.0,38.0,33.0,35.0,50.0,71.0,46.0
ENSMUSG00000015714,4155.0,1532.0,3652.0,1506.0,1959.0,2099.0,2584.0,3249.0,3727.0,3471.0,3533.0,3296.0,5.0,5.0,2.0,7.0,2.0,2.0,6.0,5.0,6.0,7.0,6.0,4.0
ENSMUSG00000015745,532.0,152.0,288.0,299.0,215.0,231.0,188.0,256.0,270.0,300.0,285.0,304.0,35.0,50.0,40.0,45.0,46.0,20.0,42.0,45.0,28.0,44.0,64.0,18.0
ENSMUSG00000015747,582.0,197.0,461.0,276.0,279.0,285.0,231.0,325.0,308.0,330.0,299.0,295.0,35.0,38.0,28.0,32.0,52.0,13.0,23.0,28.0,12.0,28.0,47.0,34.0
ENSMUSG00000015748,501.0,165.0,335.0,302.0,253.0,317.0,277.0,340.0,354.0,415.0,306.0,347.0,6.0,6.0,12.0,21.0,17.0,19.0,12.0,7.0,10.0,21.0,31.0,23.0
ENSMUSG00000015749,1788.0,836.0,1630.0,1122.0,1205.0,1029.0,858.0,1082.0,1209.0,1402.0,1081.0,1145.0,27.0,33.0,25.0,51.0,43.0,11.0,29.0,30.0,15.0,49.0,27.0,13.0
ENSMUSG00000015766,630.0,241.0,521.0,343.0,365.0,421.0,211.0,252.0,284.0,338.0,236.0,338.0,24.0,31.0,22.0,47.0,61.0,20.0,26.0,10.0,24.0,24.0,39.0,19.0
ENSMUSG00000015804,889.0,310.0,744.0,172.0,509.0,409.0,288.0,341.0,328.0,554.0,439.0,509.0,8.0,12.0,6.0,8.0,11.0,5.0,6.0,6.0,3.0,7.0,14.0,6.0
ENSMUSG00000015806,1602.0,614.0,1569.0,307.0,706.0,710.0,417.0,446.0,601.0,783.0,730.0,692.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,7.0,0.0
ENSMUSG00000015837,5561.0,2487.0,4485.0,3179.0,2895.0,2922.0,3106.0,3288.0,4391.0,3785.0,4071.0,3824.0,390.0,345.0,267.0,410.0,331.0,253.0,331.0,336.0,317.0,362.0,297.0,223.0
ENSMUSG00000015839,2484.0,932.0,1745.0,1622.0,1202.0,1421.0,1436.0,1812.0,1986.0,2038.0,1524.0,1816.0,225.0,299.0,193.0,292.0,375.0,202.0,215.0,330.0,194.0,340.0,411.0,234.0
ENSMUSG00000015843,766.0,355.0,615.0,255.0,438.0,378.0,264.0,299.0,350.0,464.0,436.0,425.0,21.0,16.0,21.0,27.0,35.0,28.0,19.0,18.0,24.0,26.0,23.0,22.0
ENSMUSG00000015869,448.0,175.0,409.0,244.0,255.0,250.0,231.0,284.0,277.0,327.0,265.0,249.0,9.0,4.0,4.0,6.0,9.0,13.0,6.0,7.0,3.0,12.0,3.0,4.0
ENSMUSG00000015882,590.0,352.0,561.0,423.0,490.0,307.0,331.0,367.0,468.0,419.0,409.0,341.0,3.0,14.0,24.0,42.0,14.0,0.0,53.0,17.0,27.0,41.0,34.0,53.0
ENSMUSG00000015889,684.0,261.0,681.0,263.0,388.0,344.0,396.0,494.0,552.0,559.0,512.0,599.0,22.0,17.0,22.0,28.0,14.0,9.0,17.0,23.0,20.0,32.0,19.0,9.0
ENSMUSG00000015942,172.0,66.0,112.0,82.0,78.0,65.0,69.0,98.0,101.0,130.0,97.0,106.0,5.0,13.0,5.0,7.0,13.0,4.0,2.0,11.0,4.0,22.0,10.0,13.0
ENSMUSG00000015944,1075.0,493.0,931.0,642.0,681.0,700.0,426.0,611.0,689.0,550.0,527.0,607.0,84.0,100.0,66.0,114.0,131.0,55.0,65.0,78.0,58.0,97.0,122.0,40.0
ENSMUSG00000015961,1564.0,608.0,1593.0,740.0,886.0,855.0,747.0,963.0,1141.0,1190.0,1033.0,1109.0,21.0,19.0,21.0,23.0,33.0,13.0,35.0,37.0,25.0,33.0,41.0,16.0
ENSMUSG00000015970,3438.0,1943.0,3819.0,2784.0,1846.0,1597.0,1457.0,1517.0,2801.0,2605.0,1909.0,1895.0,40.0,67.0,44.0,60.0,70.0,41.0,31.0,43.0,30.0,51.0,31.0,32.0
ENSMUSG00000015994,2612.0,1056.0,1762.0,1002.0,1447.0,1364.0,1192.0,1407.0,1757.0,1865.0,1577.0,1688.0,207.0,241.0,158.0,301.0,306.0,203.0,236.0,238.0,212.0,340.0,308.0,184.0
ENSMUSG00000016018,1067.0,456.0,874.0,836.0,604.0,593.0,579.0,668.0,718.0,760.0,648.0,691.0,64.0,54.0,52.0,84.0,82.0,46.0,77.0,71.0,54.0,88.0,96.0,54.0
ENSMUSG00000016087,837.0,297.0,509.0,1068.0,388.0,446.0,386.0,506.0,494.0,405.0,295.0,384.0,25.0,20.0,8.0,22.0,18.0,11.0,14.0,11.0,4.0,13.0,11.0,14.0
ENSMUSG00000016128,921.0,334.0,850.0,364.0,515.0,432.0,284.0,473.0,421.0,487.0,427.0,395.0,33.0,31.0,30.0,28.0,20.0,18.0,27.0,35.0,10.0,43.0,35.0,24.0
ENSMUSG00000016181,310.0,117.0,248.0,176.0,186.0,172.0,130.0,162.0,174.0,234.0,175.0,162.0,12.0,20.0,25.0,27.0,31.0,25.0,15.0,16.0,14.0,29.0,24.0,18.0
ENSMUSG00000016194,833.0,242.0,549.0,279.0,546.0,422.0,3196.0,3557.0,3953.0,4983.0,5182.0,3823.0,24.0,23.0,40.0,73.0,65.0,36.0,154.0,190.0,208.0,411.0,357.0,223.0
ENSMUSG00000016253,1211.0,485.0,958.0,426.0,600.0,550.0,524.0,594.0,667.0,927.0,783.0,827.0,33.0,35.0,33.0,35.0,40.0,19.0,43.0,31.0,22.0,34.0,32.0,18.0
ENSMUSG00000016344,604.0,265.0,448.0,699.0,363.0,343.0,511.0,641.0,704.0,630.0,701.0,674.0,38.0,39.0,26.0,48.0,34.0,26.0,35.0,41.0,35.0,35.0,42.0,25.0
ENSMUSG00000016477,148.0,89.0,125.0,67.0,122.0,95.0,112.0,134.0,225.0,156.0,196.0,151.0,7.0,6.0,5.0,14.0,6.0,1.0,4.0,7.0,7.0,4.0,2.0,3.0
ENSMUSG00000016481,1639.0,612.0,1249.0,929.0,866.0,910.0,833.0,921.0,941.0,926.0,729.0,851.0,135.0,106.0,81.0,157.0,158.0,72.0,109.0,105.0,99.0,127.0,150.0,69.0
ENSMUSG00000016487,5266.0,2706.0,3848.0,2097.0,1924.0,2210.0,2831.0,2988.0,2510.0,2187.0,1800.0,1917.0,8.0,14.0,4.0,5.0,5.0,11.0,8.0,0.0,3.0,5.0,10.0,0.0
ENSMUSG00000016493,186.0,50.0,112.0,50.0,80.0,84.0,32.0,43.0,44.0,49.0,44.0,45.0,14.0,8.0,13.0,16.0,22.0,8.0,6.0,5.0,19.0,8.0,12.0,10.0
ENSMUSG00000016494,965.0,397.0,733.0,482.0,290.0,558.0,254.0,431.0,269.0,274.0,275.0,406.0,19.0,22.0,27.0,34.0,38.0,12.0,37.0,21.0,33.0,35.0,32.0,10.0
ENSMUSG00000016495,1297.0,534.0,1479.0,519.0,772.0,721.0,633.0,878.0,808.0,931.0,865.0,932.0,12.0,17.0,6.0,15.0,24.0,15.0,6.0,14.0,13.0,21.0,14.0,12.0
ENSMUSG00000016496,1818.0,508.0,1391.0,394.0,758.0,797.0,727.0,1111.0,788.0,886.0,753.0,928.0,74.0,62.0,71.0,110.0,133.0,66.0,60.0,43.0,78.0,124.0,132.0,72.0
ENSMUSG00000016520,796.0,353.0,609.0,453.0,454.0,457.0,460.0,656.0,721.0,917.0,615.0,817.0,58.0,71.0,43.0,66.0,68.0,41.0,80.0,111.0,67.0,101.0,129.0,66.0
ENSMUSG00000016664,3848.0,1598.0,3440.0,2079.0,1995.0,1905.0,1715.0,1925.0,2343.0,2796.0,2011.0,2095.0,78.0,85.0,56.0,94.0,124.0,62.0,64.0,95.0,55.0,109.0,100.0,60.0
ENSMUSG00000016756,174.0,81.0,171.0,135.0,73.0,119.0,49.0,94.0,72.0,73.0,81.0,106.0,4.0,1.0,4.0,8.0,6.0,0.0,1.0,0.0,3.0,12.0,5.0,3.0
ENSMUSG00000016757,1011.0,372.0,738.0,592.0,503.0,467.0,423.0,475.0,545.0,553.0,453.0,534.0,89.0,118.0,83.0,106.0,102.0,56.0,75.0,74.0,59.0,72.0,80.0,49.0
ENSMUSG00000016918,319.0,164.0,350.0,304.0,151.0,212.0,113.0,187.0,185.0,190.0,152.0,230.0,7.0,8.0,3.0,4.0,11.0,1.0,11.0,7.0,3.0,13.0,10.0,6.0
ENSMUSG00000016921,3055.0,1212.0,2442.0,1409.0,1623.0,1593.0,1332.0,1556.0,1869.0,2023.0,1812.0,1676.0,35.0,44.0,29.0,75.0,63.0,33.0,25.0,21.0,32.0,35.0,44.0,32.0
ENSMUSG00000016933,2879.0,1075.0,2379.0,1686.0,1457.0,1422.0,1059.0,1454.0,1731.0,1780.0,1415.0,1538.0,91.0,115.0,96.0,161.0,137.0,84.0,92.0,98.0,96.0,168.0,136.0,94.0
ENSMUSG00000016940,1613.0,612.0,1317.0,660.0,889.0,784.0,523.0,617.0,762.0,989.0,804.0,845.0,11.0,20.0,14.0,22.0,9.0,6.0,20.0,22.0,7.0,10.0,10.0,4.0
ENSMUSG00000016942,10.0,2.0,10.0,5.0,4.0,3.0,15.0,22.0,16.0,24.0,34.0,23.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0
ENSMUSG00000016946,316.0,193.0,297.0,128.0,177.0,124.0,110.0,152.0,138.0,195.0,184.0,176.0,9.0,5.0,6.0,7.0,7.0,1.0,7.0,4.0,11.0,11.0,10.0,4.0
ENSMUSG00000017009,2609.0,699.0,1898.0,2069.0,1082.0,916.0,1789.0,931.0,1476.0,2219.0,1604.0,1139.0,91.0,173.0,106.0,275.0,134.0,58.0,105.0,191.0,127.0,316.0,167.0,64.0
ENSMUSG00000017119,6902.0,2453.0,6187.0,3419.0,3531.0,3846.0,3157.0,3459.0,4207.0,4987.0,3456.0,3920.0,294.0,366.0,270.0,428.0,497.0,334.0,276.0,368.0,254.0,441.0,492.0,313.0
ENSMUSG00000017132,1831.0,674.0,1598.0,1202.0,1021.0,837.0,978.0,1085.0,1324.0,1413.0,1313.0,1100.0,149.0,172.0,136.0,209.0,221.0,137.0,168.0,253.0,162.0,247.0,257.0,157.0
ENSMUSG00000017144,205.0,97.0,236.0,134.0,90.0,118.0,83.0,119.0,159.0,123.0,103.0,100.0,3.0,2.0,0.0,10.0,5.0,11.0,8.0,3.0,6.0,9.0,10.0,10.0
ENSMUSG00000017176,295.0,81.0,182.0,244.0,136.0,145.0,155.0,234.0,190.0,206.0,222.0,183.0,28.0,36.0,15.0,43.0,37.0,10.0,35.0,37.0,17.0,48.0,43.0,26.0
ENSMUSG00000017188,1755.0,646.0,1263.0,1096.0,835.0,816.0,719.0,825.0,881.0,1003.0,860.0,917.0,286.0,319.0,222.0,353.0,331.0,202.0,278.0,310.0,259.0,391.0,401.0,204.0
ENSMUSG00000017210,1569.0,637.0,1263.0,771.0,839.0,821.0,720.0,928.0,1044.0,1156.0,973.0,1005.0,105.0,116.0,91.0,158.0,144.0,71.0,90.0,108.0,77.0,138.0,165.0,57.0
ENSMUSG00000017221,3822.0,1670.0,3137.0,1931.0,1994.0,2031.0,1818.0,2034.0,2376.0,2543.0,2381.0,2406.0,13.0,15.0,10.0,9.0,13.0,5.0,11.0,7.0,11.0,14.0,8.0,11.0
ENSMUSG00000017264,1166.0,404.0,924.0,732.0,577.0,590.0,575.0,691.0,728.0,864.0,596.0,760.0,17.0,34.0,28.0,39.0,30.0,16.0,21.0,35.0,16.0,20.0,26.0,16.0
ENSMUSG00000017286,1015.0,425.0,934.0,348.0,542.0,524.0,369.0,512.0,595.0,581.0,561.0,548.0,8.0,7.0,1.0,9.0,4.0,3.0,12.0,14.0,11.0,16.0,8.0,7.0
ENSMUSG00000017291,3538.0,2091.0,3281.0,2198.0,3199.0,1989.0,1915.0,2278.0,2780.0,2693.0,3071.0,2402.0,117.0,125.0,118.0,184.0,115.0,85.0,123.0,84.0,103.0,177.0,110.0,79.0
ENSMUSG00000017299,184.0,92.0,136.0,106.0,136.0,94.0,88.0,125.0,130.0,173.0,146.0,173.0,3.0,10.0,9.0,11.0,4.0,5.0,11.0,8.0,13.0,7.0,9.0,14.0
ENSMUSG00000017309,5685.0,2336.0,4487.0,3443.0,2611.0,2944.0,2472.0,2351.0,2800.0,2992.0,2211.0,2439.0,116.0,147.0,95.0,180.0,135.0,104.0,68.0,109.0,61.0,108.0,106.0,55.0
ENSMUSG00000017376,769.0,376.0,729.0,781.0,528.0,487.0,548.0,601.0,718.0,654.0,575.0,536.0,15.0,7.0,7.0,18.0,23.0,8.0,6.0,13.0,6.0,14.0,18.0,3.0
ENSMUSG00000017405,383.0,140.0,303.0,195.0,171.0,184.0,127.0,165.0,222.0,213.0,206.0,198.0,4.0,7.0,5.0,11.0,12.0,3.0,8.0,4.0,9.0,5.0,10.0,10.0
ENSMUSG00000017418,707.0,362.0,634.0,553.0,465.0,407.0,395.0,419.0,490.0,469.0,532.0,379.0,9.0,12.0,21.0,8.0,22.0,13.0,14.0,11.0,15.0,19.0,14.0,7.0
ENSMUSG00000017421,3272.0,1070.0,2196.0,2471.0,1656.0,1704.0,1526.0,1947.0,2009.0,1874.0,1702.0,1547.0,6.0,3.0,5.0,12.0,3.0,8.0,4.0,8.0,5.0,14.0,12.0,5.0
ENSMUSG00000017446,243.0,146.0,257.0,196.0,144.0,209.0,115.0,161.0,171.0,128.0,149.0,184.0,17.0,15.0,6.0,23.0,23.0,12.0,19.0,12.0,18.0,21.0,34.0,7.0
ENSMUSG00000017466,1199.0,556.0,1001.0,1016.0,346.0,869.0,403.0,676.0,487.0,447.0,526.0,645.0,86.0,67.0,79.0,90.0,122.0,51.0,79.0,58.0,66.0,65.0,139.0,34.0
ENSMUSG00000017478,1310.0,555.0,960.0,1300.0,708.0,674.0,700.0,869.0,984.0,1016.0,791.0,863.0,61.0,58.0,65.0,64.0,89.0,46.0,45.0,69.0,34.0,58.0,80.0,46.0
ENSMUSG00000017485,2546.0,1110.0,2152.0,1454.0,1603.0,1409.0,1281.0,1549.0,1876.0,1732.0,1564.0,1478.0,77.0,77.0,76.0,106.0,102.0,80.0,92.0,88.0,76.0,99.0,132.0,61.0
ENSMUSG00000017493,1257.0,367.0,745.0,574.0,405.0,644.0,342.0,406.0,521.0,562.0,400.0,588.0,49.0,55.0,48.0,55.0,83.0,33.0,72.0,43.0,67.0,63.0,96.0,41.0
ENSMUSG00000017615,2666.0,1036.0,2201.0,1638.0,1503.0,1459.0,1171.0,1422.0,1749.0,1735.0,1408.0,1576.0,62.0,50.0,32.0,63.0,56.0,47.0,55.0,49.0,32.0,30.0,54.0,23.0
ENSMUSG00000017631,1756.0,567.0,1257.0,949.0,866.0,925.0,704.0,782.0,990.0,1300.0,848.0,902.0,33.0,35.0,11.0,48.0,50.0,19.0,37.0,29.0,16.0,42.0,54.0,22.0
ENSMUSG00000017664,591.0,252.0,485.0,316.0,288.0,261.0,215.0,213.0,267.0,312.0,309.0,291.0,25.0,15.0,16.0,20.0,15.0,10.0,12.0,21.0,21.0,14.0,19.0,13.0
ENSMUSG00000017670,1907.0,759.0,1467.0,1078.0,973.0,864.0,723.0,907.0,900.0,957.0,803.0,849.0,73.0,99.0,53.0,102.0,89.0,38.0,72.0,88.0,42.0,98.0,54.0,44.0
ENSMUSG00000017677,598.0,216.0,599.0,260.0,284.0,284.0,197.0,227.0,227.0,240.0,215.0,219.0,16.0,34.0,27.0,49.0,44.0,27.0,34.0,16.0,30.0,42.0,45.0,15.0
ENSMUSG00000017679,512.0,215.0,402.0,235.0,278.0,285.0,184.0,165.0,198.0,223.0,167.0,209.0,72.0,72.0,45.0,73.0,80.0,45.0,53.0,34.0,21.0,58.0,49.0,27.0
ENSMUSG00000017697,27.0,3.0,17.0,10.0,13.0,13.0,15.0,5.0,15.0,13.0,11.0,18.0,2.0,5.0,2.0,0.0,5.0,0.0,1.0,2.0,3.0,0.0,3.0,1.0
ENSMUSG00000017707,8216.0,2712.0,6843.0,3378.0,3487.0,4017.0,2827.0,3107.0,3792.0,3471.0,3032.0,3117.0,624.0,636.0,540.0,938.0,927.0,498.0,441.0,507.0,439.0,761.0,739.0,434.0
ENSMUSG00000017747,658.0,219.0,614.0,365.0,350.0,383.0,424.0,376.0,505.0,653.0,489.0,515.0,22.0,30.0,21.0,39.0,26.0,27.0,33.0,37.0,19.0,44.0,39.0,14.0
ENSMUSG00000017756,3399.0,1434.0,3226.0,2037.0,1842.0,2049.0,1660.0,1865.0,2002.0,2628.0,1962.0,2195.0,148.0,140.0,120.0,246.0,248.0,109.0,133.0,162.0,151.0,197.0,222.0,114.0
ENSMUSG00000017765,512.0,205.0,356.0,268.0,209.0,255.0,251.0,331.0,405.0,478.0,364.0,391.0,9.0,13.0,9.0,9.0,6.0,10.0,9.0,15.0,5.0,4.0,17.0,9.0
ENSMUSG00000017774,11765.0,5198.0,12156.0,5831.0,5853.0,5419.0,4344.0,5499.0,7470.0,7505.0,6285.0,5706.0,210.0,247.0,184.0,280.0,214.0,145.0,198.0,274.0,180.0,334.0,236.0,172.0
ENSMUSG00000017776,5142.0,2311.0,4246.0,1767.0,2945.0,2344.0,2078.0,2333.0,2705.0,3540.0,2816.0,2630.0,67.0,83.0,40.0,96.0,67.0,33.0,54.0,94.0,37.0,75.0,66.0,25.0
ENSMUSG00000017778,10543.0,3730.0,8609.0,5748.0,5158.0,5241.0,4535.0,5164.0,5397.0,6118.0,5351.0,5493.0,136.0,210.0,118.0,205.0,164.0,69.0,159.0,204.0,101.0,234.0,160.0,81.0
ENSMUSG00000017801,1233.0,425.0,1018.0,667.0,644.0,522.0,481.0,579.0,649.0,667.0,529.0,549.0,49.0,51.0,22.0,39.0,42.0,17.0,44.0,46.0,32.0,66.0,70.0,28.0
ENSMUSG00000017802,2289.0,928.0,2217.0,946.0,1316.0,1120.0,1078.0,1224.0,1426.0,2058.0,1571.0,1640.0,63.0,84.0,36.0,95.0,75.0,39.0,69.0,89.0,32.0,87.0,91.0,45.0
ENSMUSG00000017831,1758.0,740.0,1518.0,1157.0,1006.0,950.0,903.0,993.0,1207.0,1190.0,1004.0,1010.0,18.0,32.0,21.0,34.0,20.0,13.0,28.0,27.0,10.0,20.0,22.0,18.0
ENSMUSG00000017837,1329.0,481.0,1108.0,719.0,719.0,600.0,574.0,655.0,834.0,875.0,834.0,797.0,52.0,75.0,25.0,90.0,60.0,50.0,69.0,75.0,60.0,88.0,89.0,27.0
ENSMUSG00000017843,3115.0,1300.0,2702.0,1375.0,1763.0,1720.0,1325.0,1666.0,1831.0,1835.0,1669.0,1681.0,205.0,213.0,199.0,304.0,336.0,190.0,220.0,200.0,186.0,277.0,300.0,205.0
ENSMUSG00000017858,1194.0,456.0,966.0,753.0,646.0,616.0,564.0,690.0,710.0,623.0,661.0,623.0,19.0,13.0,14.0,31.0,18.0,13.0,16.0,11.0,8.0,12.0,18.0,11.0
ENSMUSG00000017929,276.0,128.0,272.0,286.0,181.0,163.0,186.0,179.0,216.0,249.0,239.0,213.0,13.0,19.0,17.0,18.0,33.0,22.0,22.0,24.0,18.0,32.0,36.0,24.0
ENSMUSG00000017978,194.0,39.0,105.0,70.0,121.0,114.0,40.0,35.0,39.0,40.0,34.0,41.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0
ENSMUSG00000017999,805.0,318.0,678.0,457.0,474.0,437.0,443.0,448.0,648.0,582.0,409.0,446.0,62.0,66.0,52.0,75.0,65.0,41.0,66.0,52.0,49.0,62.0,58.0,41.0
ENSMUSG00000018001,802.0,346.0,609.0,591.0,400.0,439.0,415.0,481.0,532.0,535.0,454.0,519.0,17.0,11.0,13.0,23.0,27.0,5.0,15.0,26.0,11.0,19.0,25.0,15.0
ENSMUSG00000018008,156.0,52.0,152.0,85.0,81.0,82.0,67.0,76.0,93.0,91.0,78.0,93.0,12.0,14.0,8.0,16.0,18.0,14.0,7.0,14.0,7.0,10.0,24.0,16.0
ENSMUSG00000018042,6173.0,2760.0,5352.0,6091.0,3084.0,3860.0,1761.0,2443.0,2794.0,2080.0,2435.0,2338.0,429.0,448.0,494.0,622.0,637.0,360.0,368.0,348.0,329.0,397.0,415.0,244.0
ENSMUSG00000018076,3552.0,1482.0,2923.0,2048.0,1952.0,1875.0,1439.0,1697.0,1854.0,2182.0,1582.0,1843.0,22.0,16.0,25.0,20.0,30.0,19.0,19.0,24.0,22.0,34.0,46.0,22.0
ENSMUSG00000018143,717.0,263.0,553.0,415.0,313.0,324.0,354.0,302.0,362.0,502.0,363.0,354.0,15.0,28.0,19.0,25.0,14.0,6.0,13.0,17.0,9.0,10.0,8.0,8.0
ENSMUSG00000018160,2869.0,1345.0,2686.0,2386.0,1854.0,1893.0,1188.0,1565.0,1956.0,2045.0,1590.0,1655.0,108.0,118.0,97.0,160.0,151.0,51.0,99.0,91.0,67.0,96.0,95.0,52.0
