,MBSD_104.counts,MBSD_106.counts,MBSD_110.counts,MBSD_114.counts,MBSD_119.counts,MBSD_123.counts,MBSD_156.counts,MBSD_158.counts,MBSD_162.counts,MBSD_166.counts,MBSD_168.counts,MBSD_173.counts,X177_coldM_geno1,X182_coldM_geno1,X187_coldM_geno1,X192_coldM_geno1,X194_coldM_geno1,X198_coldM_geno1,X177_coldM_geno2,X182_coldM_geno2,X187_coldM_geno2,X192_coldM_geno2,X194_coldM_geno2,X198_coldM_geno2
ENSMUSG00000041075,405.0,218.0,521.0,300.0,337.0,281.0,278.0,391.0,399.0,477.0,381.0,403.0,8.0,11.0,1.0,10.0,11.0,1.0,9.0,22.0,10.0,9.0,20.0,4.0
ENSMUSG00000041079,120.0,54.0,115.0,73.0,74.0,67.0,57.0,68.0,84.0,93.0,94.0,76.0,5.0,4.0,5.0,5.0,1.0,1.0,9.0,7.0,4.0,6.0,6.0,1.0
ENSMUSG00000041119,71.0,26.0,56.0,17.0,37.0,41.0,35.0,57.0,47.0,51.0,41.0,63.0,4.0,2.0,3.0,2.0,2.0,7.0,3.0,3.0,10.0,1.0,9.0,4.0
ENSMUSG00000041120,200.0,73.0,122.0,127.0,61.0,107.0,71.0,79.0,65.0,79.0,83.0,109.0,15.0,17.0,11.0,15.0,36.0,7.0,19.0,19.0,9.0,17.0,18.0,4.0
ENSMUSG00000041124,983.0,371.0,881.0,388.0,558.0,557.0,409.0,552.0,658.0,707.0,550.0,590.0,12.0,9.0,9.0,13.0,13.0,11.0,12.0,7.0,14.0,10.0,14.0,8.0
ENSMUSG00000041130,2068.0,893.0,1459.0,1895.0,1145.0,1021.0,743.0,895.0,1090.0,1424.0,1171.0,1229.0,59.0,57.0,25.0,61.0,65.0,37.0,40.0,44.0,35.0,55.0,59.0,30.0
ENSMUSG00000041132,763.0,327.0,662.0,407.0,472.0,370.0,442.0,412.0,539.0,641.0,487.0,434.0,51.0,47.0,30.0,84.0,71.0,43.0,48.0,31.0,40.0,59.0,74.0,42.0
ENSMUSG00000041134,3078.0,1209.0,2098.0,1857.0,1744.0,1681.0,1418.0,1612.0,1933.0,1820.0,1428.0,1655.0,134.0,100.0,120.0,203.0,144.0,145.0,94.0,125.0,109.0,175.0,161.0,108.0
ENSMUSG00000041143,671.0,369.0,663.0,403.0,439.0,335.0,312.0,371.0,475.0,482.0,484.0,377.0,21.0,19.0,21.0,27.0,18.0,26.0,14.0,20.0,23.0,25.0,12.0,18.0
ENSMUSG00000041147,95.0,57.0,141.0,58.0,92.0,60.0,71.0,71.0,69.0,71.0,69.0,60.0,12.0,4.0,6.0,17.0,10.0,11.0,4.0,9.0,4.0,20.0,15.0,9.0
ENSMUSG00000041153,459.0,187.0,505.0,257.0,265.0,241.0,246.0,291.0,298.0,321.0,220.0,253.0,6.0,12.0,8.0,12.0,14.0,8.0,10.0,6.0,8.0,20.0,18.0,9.0
ENSMUSG00000041161,410.0,152.0,246.0,192.0,245.0,199.0,134.0,166.0,232.0,231.0,216.0,187.0,12.0,36.0,7.0,32.0,29.0,12.0,15.0,14.0,7.0,11.0,24.0,7.0
ENSMUSG00000041164,3125.0,1296.0,2465.0,2943.0,1929.0,1871.0,1379.0,1739.0,2128.0,2393.0,1806.0,1956.0,81.0,90.0,39.0,93.0,91.0,34.0,70.0,92.0,51.0,111.0,75.0,36.0
ENSMUSG00000041168,12781.0,5647.0,10253.0,4424.0,6218.0,6469.0,3680.0,4184.0,5091.0,6534.0,5295.0,5867.0,753.0,820.0,568.0,971.0,919.0,437.0,600.0,776.0,488.0,818.0,765.0,376.0
ENSMUSG00000041215,400.0,135.0,337.0,228.0,175.0,181.0,200.0,229.0,253.0,249.0,202.0,246.0,11.0,21.0,19.0,8.0,6.0,2.0,16.0,20.0,10.0,20.0,12.0,9.0
ENSMUSG00000041225,1088.0,484.0,970.0,746.0,640.0,634.0,632.0,722.0,828.0,942.0,700.0,748.0,50.0,37.0,40.0,58.0,70.0,26.0,36.0,42.0,33.0,52.0,84.0,41.0
ENSMUSG00000041231,882.0,377.0,763.0,420.0,582.0,485.0,266.0,348.0,377.0,435.0,330.0,410.0,34.0,38.0,42.0,50.0,54.0,25.0,31.0,38.0,25.0,50.0,61.0,28.0
ENSMUSG00000041235,1476.0,613.0,1176.0,830.0,828.0,767.0,560.0,739.0,858.0,824.0,758.0,707.0,9.0,6.0,7.0,9.0,13.0,7.0,11.0,2.0,6.0,9.0,15.0,6.0
ENSMUSG00000041241,1793.0,637.0,1456.0,710.0,874.0,799.0,660.0,767.0,914.0,1202.0,1007.0,1056.0,17.0,41.0,19.0,36.0,20.0,18.0,23.0,23.0,17.0,33.0,27.0,12.0
ENSMUSG00000041258,862.0,344.0,676.0,468.0,469.0,577.0,371.0,478.0,514.0,697.0,451.0,527.0,23.0,49.0,20.0,41.0,43.0,20.0,23.0,31.0,35.0,43.0,49.0,35.0
ENSMUSG00000041264,785.0,315.0,569.0,491.0,425.0,389.0,320.0,370.0,502.0,578.0,474.0,481.0,19.0,30.0,17.0,30.0,40.0,22.0,14.0,31.0,10.0,28.0,43.0,16.0
ENSMUSG00000041268,798.0,434.0,674.0,585.0,588.0,356.0,382.0,398.0,440.0,397.0,632.0,487.0,14.0,13.0,10.0,15.0,6.0,8.0,16.0,10.0,14.0,40.0,23.0,18.0
ENSMUSG00000041278,1101.0,379.0,784.0,970.0,576.0,542.0,546.0,535.0,665.0,667.0,608.0,494.0,62.0,68.0,56.0,76.0,71.0,51.0,54.0,55.0,49.0,98.0,72.0,53.0
ENSMUSG00000041297,2149.0,938.0,1593.0,2031.0,1221.0,1106.0,1021.0,1449.0,1670.0,1522.0,1416.0,1356.0,37.0,53.0,37.0,42.0,63.0,34.0,45.0,36.0,44.0,51.0,55.0,27.0
ENSMUSG00000041303,865.0,369.0,857.0,417.0,501.0,483.0,445.0,452.0,578.0,604.0,509.0,513.0,49.0,39.0,57.0,51.0,52.0,44.0,38.0,37.0,25.0,66.0,50.0,37.0
ENSMUSG00000041308,844.0,420.0,956.0,469.0,524.0,599.0,1301.0,1701.0,1882.0,2177.0,1694.0,1720.0,14.0,21.0,9.0,21.0,16.0,9.0,47.0,62.0,48.0,62.0,84.0,42.0
ENSMUSG00000041313,111.0,69.0,101.0,88.0,46.0,76.0,109.0,97.0,127.0,156.0,111.0,128.0,6.0,11.0,9.0,10.0,5.0,5.0,11.0,5.0,12.0,25.0,12.0,4.0
ENSMUSG00000041319,552.0,150.0,510.0,281.0,219.0,216.0,173.0,181.0,232.0,321.0,237.0,238.0,33.0,48.0,27.0,49.0,46.0,42.0,35.0,32.0,24.0,49.0,37.0,31.0
ENSMUSG00000041328,1448.0,475.0,954.0,895.0,770.0,734.0,681.0,877.0,981.0,925.0,809.0,790.0,65.0,53.0,63.0,99.0,76.0,67.0,51.0,66.0,61.0,97.0,72.0,68.0
ENSMUSG00000041341,1730.0,895.0,1530.0,1009.0,1133.0,1099.0,812.0,1061.0,1259.0,1501.0,1212.0,1163.0,122.0,151.0,102.0,181.0,205.0,100.0,123.0,95.0,100.0,170.0,152.0,91.0
ENSMUSG00000041343,125.0,59.0,130.0,97.0,92.0,64.0,71.0,66.0,121.0,100.0,86.0,78.0,9.0,12.0,13.0,33.0,21.0,7.0,11.0,15.0,22.0,15.0,19.0,12.0
ENSMUSG00000041351,3395.0,1363.0,2615.0,1865.0,1306.0,1704.0,1610.0,1189.0,1272.0,1618.0,1292.0,1302.0,26.0,23.0,23.0,28.0,23.0,18.0,23.0,31.0,27.0,17.0,34.0,15.0
ENSMUSG00000041354,1425.0,601.0,1206.0,550.0,959.0,769.0,466.0,600.0,662.0,945.0,767.0,854.0,117.0,160.0,102.0,150.0,135.0,73.0,118.0,144.0,79.0,107.0,182.0,51.0
ENSMUSG00000041362,3129.0,1355.0,2894.0,2439.0,1706.0,1980.0,1646.0,1821.0,2066.0,1775.0,1475.0,1673.0,141.0,167.0,167.0,268.0,212.0,214.0,142.0,188.0,183.0,283.0,241.0,195.0
ENSMUSG00000041378,438.0,212.0,377.0,136.0,281.0,234.0,294.0,370.0,421.0,658.0,561.0,538.0,37.0,93.0,40.0,55.0,49.0,22.0,59.0,119.0,66.0,62.0,81.0,49.0
ENSMUSG00000041390,1916.0,780.0,2279.0,881.0,1085.0,1057.0,740.0,975.0,1053.0,904.0,787.0,872.0,11.0,12.0,5.0,6.0,16.0,8.0,23.0,9.0,17.0,9.0,6.0,11.0
ENSMUSG00000041417,3252.0,881.0,2336.0,1581.0,2895.0,2449.0,1200.0,2610.0,2066.0,1991.0,1449.0,1917.0,92.0,158.0,76.0,149.0,192.0,88.0,130.0,191.0,102.0,219.0,275.0,86.0
ENSMUSG00000041439,399.0,158.0,350.0,279.0,192.0,211.0,154.0,147.0,177.0,215.0,154.0,184.0,9.0,8.0,12.0,19.0,21.0,5.0,12.0,13.0,15.0,14.0,17.0,7.0
ENSMUSG00000041444,1391.0,700.0,1235.0,943.0,777.0,799.0,672.0,909.0,1062.0,907.0,778.0,793.0,21.0,19.0,16.0,24.0,13.0,25.0,16.0,17.0,15.0,27.0,16.0,25.0
ENSMUSG00000041445,2052.0,565.0,1230.0,642.0,1161.0,901.0,869.0,1269.0,1134.0,1655.0,1177.0,1589.0,142.0,185.0,72.0,143.0,205.0,88.0,91.0,97.0,76.0,161.0,136.0,106.0
ENSMUSG00000041477,312.0,128.0,318.0,217.0,198.0,169.0,127.0,143.0,186.0,181.0,140.0,152.0,49.0,31.0,30.0,48.0,48.0,33.0,23.0,20.0,24.0,32.0,29.0,18.0
ENSMUSG00000041491,142.0,64.0,143.0,73.0,110.0,60.0,69.0,80.0,115.0,112.0,80.0,90.0,9.0,6.0,5.0,12.0,10.0,6.0,6.0,3.0,5.0,23.0,15.0,6.0
ENSMUSG00000041506,277.0,131.0,176.0,108.0,155.0,118.0,122.0,147.0,158.0,269.0,160.0,247.0,6.0,10.0,3.0,12.0,13.0,6.0,13.0,15.0,10.0,11.0,13.0,10.0
ENSMUSG00000041515,59.0,18.0,51.0,13.0,26.0,20.0,15.0,33.0,30.0,21.0,21.0,26.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,4.0,1.0
